Ticker,Date Bought,Quantity,Price Bought,Sell Price,Profit,Sell Date,Date,Type,Price,Total,Balance After
AAPL,,100.0,,,,,2025-04-01 12:17:56,BUY,222.54,22254.0,33161.0
AAPL,,100.0,,,,,2025-04-01 12:18:38,SELL,222.57,22257.0,55418.0
AAPL,,200.0,,,,,2025-04-01 14:44:21,BUY,222.32,44464.0,10954.0
AAPL,,200.0,,,,,2025-04-01 14:44:37,SELL,222.27,44454.0,55408.0
AAPL,,100.0,,,,,2025-04-01 14:56:51,BUY,223.15,22315.0,33093.0
AAPL,,100.0,,,,,2025-04-01 14:57:29,SELL,223.25,22325.0,55418.0
SYSTEM,,0.0,,,,,2025-04-01 15:09:42,RESET,0.0,0.0,100000.0
MSFT,,100.0,,,,,2025-04-03 09:15:46,BUY,374.67,37467.0,62533.0
MSFT,,100.0,,,,,2025-04-03 09:16:04,SELL,374.73,37473.0,100006.0
AAPL,,100.0,,,,,2025-04-03 10:27:45,BUY,204.52,20452.0,79554.0
SYSTEM,,0.0,,,,,2025-04-03 10:28:03,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-08 08:50:01,BUY,185.84,18584.0,81416.0
SYSTEM,,0.0,,,,,2025-04-09 10:50:19,RESET,0.0,0.0,100000.0
AMZN,,100.0,,,,,2025-04-09 10:50:32,BUY,171.79,17179.0,82821.0
AMZN,,100.0,,,,,2025-04-09 20:53:08,BUY,190.95,19095.0,63726.0
AMZN,,100.0,,,,,2025-04-09 21:04:45,SHORT,190.95,19095.0,44631.0
AMZN,,100.0,,,,,2025-04-09 21:06:03,SELL,190.9499969482422,19094.99969482422,63725.99969482422
SYSTEM,,0.0,,,,,2025-04-09 21:22:44,RESET,0.0,0.0,100000.0
AMZN,,100.0,,,,,2025-04-09 21:23:07,BUY,190.95,19095.0,80905.0
AMZN,,50.0,,,,,2025-04-09 21:23:15,SHORT,190.95,9547.5,71357.5
AMZN,,100.0,,,,,2025-04-09 21:24:27,SELL,190.9499969482422,19094.99969482422,90452.49969482422
AMZN,,5.0,,,,,2025-04-09 21:24:41,SHORT,190.95,954.75,89497.74969482422
AMZN,,5.0,,,,,2025-04-09 21:24:44,COVER,190.9499969482422,954.7499847412108,90452.49967956544
AMZN,,50.0,,,,,2025-04-09 21:24:52,SHORT,190.95,9547.5,80904.99967956543
